N° (original);Disponible Nov 2024;Nombre vulgar;lat;lon;Zona;ruta mapa;Categoria;Nombre Científico;Familia;Observaciones;Fijador de Nitrógeno;Acumulador Dinámico;Minerales;Propiedades;Época de siembra (CHILE);Método;Profundidad de Siembra;Tiempo de germinar;Transplante;Distancia entre (Plantas);Distancia entre (hileras);Tiempo para cosechar;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre;Meses UNIRCADENAS
51;Sí;"Poleo
";;;Zona 1: Visitas Frecuentes;images/zona1_visitas_frecuentes.png;Plantas Aromáticas y Medicinales;"Menta pulegium
";Labiadas-Lamiaceas;Prefiere suelos húmedos y sombra parcial. Requiere riego constante.;No;Sí;Mg-K;"Digestivo-Aumenta secreción y jugos gastricos-Favorece menstruación-Controla fiebre
Repele pulgas-";Septiembre - Octubre;Esquejes;-;20 a 30 días;-;40 cm;50 cm;-;;;;;;;;;Septiembre;Octubre;;;"Septiembre;Octubre"
;Sí;Quillay;-33.6843866;-70.9505331;Zona 1: Visitas Frecuentes;images/zona1_visitas_frecuentes.png;Plantas Aromáticas y Medicinales;Quillaja saponaria;Quillajaceae;Prefiere suelos bien drenados y exposición al sol. Tolera la sequía y se adapta a suelos pobres. Es resistente a condiciones adversas y de crecimiento lento.;No;No;No aplica;Problemas deltórax-Expectorante-Externo:Shampoo anticaspa;Invierno (junio a agosto);Almacigo;3 cm;30 a 40 días;-;5 m;6 m;5 años;;;;;;Junio;Julio;Agosto;;;;;"Junio;Julio;Agosto"
76;Sí;Romaza;;;Zona 1: Visitas Frecuentes;images/zona1_visitas_frecuentes.png;Plantas Aromáticas y Medicinales;Rumex romaza;Poligonaceas;Prefiere suelos húmedos y ricos en materia orgánica. Necesita riego moderado y sombra parcial.;No;Sí;P;Vulnerario-Diurético-Astringente-Laxante-Tónico-Depurativo-Externo: Úlceras-Quemaduras;Agosto - Octubre;Directa;0.5 cm;7 a 14 días;-;30 cm;50 cm;-;;;;;;;;Agosto;Septiembre;Octubre;;;"Agosto;Septiembre;Octubre"
44;Sí;Romero;-33.6842161;-70.9503928;Zona 1: Visitas Frecuentes;images/zona1_visitas_frecuentes.png;Plantas Aromáticas y Medicinales;Rosmarinus officinalis ;Lamiaceae;Prefiere suelos secos y bien drenados. Tolera sequía y requiere pleno sol.;No;Sí;P;Tónico-Estimulante-Astringente-Nervino-Antiinflamatorio- Carminativo;Agosto - Octubre;Esquejes;-;15 a 20 días;-;50 cm;70 cm;-;;;;;;;;Agosto;Septiembre;Octubre;;;"Agosto;Septiembre;Octubre"
;Sí;"Ruda
";;;Zona 1: Visitas Frecuentes;images/zona1_visitas_frecuentes.png;Plantas Aromáticas y Medicinales;"Ruta graveolens
";Rutaceas;Crece en suelos secos y bien drenados. Requiere pleno sol y riego ocasional. Planta resistente.;No;Sí;P;"Favorece menstruación-Para problemas oculares-Histeria-Epilepsia-Vértigo-Cólico-
Lombrices-Lavados para sarna y piojos";Septiembre - Octubre;Directa;0.5 cm;10 a 15 días;-;30 cm;50 cm;-;;;;;;;;;Septiembre;Octubre;;;"Septiembre;Octubre"
52;Sí;"Salvia
";;;Zona 1: Visitas Frecuentes;images/zona1_visitas_frecuentes.png;Plantas Aromáticas y Medicinales;"Salvia officinalis
";Labiadas-Lamiaceas;Prefiere suelos bien drenados y exposición al sol. Tolera sequía moderada.;No;Sí;P;"Astringente-Antiséptico-Aromático-Carminativo-Estrógeno-
Reduce sudor- Tónico";Primavera (septiembre a noviembre);Directa;0.5 cm;10 a 14 días;-;30 cm;50 cm;90 días;;;;;;;;;Septiembre;Octubre;Noviembre;;"Septiembre;Octubre;Noviembre"
28;Sí;Sauco;;;Zona 1: Visitas Frecuentes;images/zona1_visitas_frecuentes.png;Plantas Aromáticas y Medicinales;Sambucus nigra;Caprifolaceas;Necesita suelos húmedos y ricos en nutrientes. Requiere riego constante y pleno sol o sombra parcial.;No;Sí;S-Ca-K-Fe-Cu-Na;Sudorífico-Diurético-Antiinflamatorio-Bayas laxante suave-puntas en flor;Invierno (junio a agosto);Almacigo;2 cm;30 a 40 días;-;3 m;4 m;3 años;;;;;;Junio;Julio;Agosto;;;;;"Junio;Julio;Agosto"
;Sí;Solidago;;;Zona 1: Visitas Frecuentes;images/zona1_visitas_frecuentes.png;Plantas Aromáticas y Medicinales;Solidago spp.;Asteraceas;Prefiere suelos húmedos y bien drenados. Tolera climas fríos y requiere pleno sol.;No;Sí;S-Mg-K-Fe;Diurético-Astringente-Antioxidante-Sirve para:Nefritis y Cistitis;Agosto - Octubre;Directa;1 cm;7 a 14 días;-;30 cm;50 cm;-;;;;;;;;Agosto;Septiembre;Octubre;;;"Agosto;Septiembre;Octubre"
;Sí;Tabaco;;;Zona 1: Visitas Frecuentes;images/zona1_visitas_frecuentes.png;Plantas Aromáticas y Medicinales;Nicotiana tabacum;Solanaceas;Prefiere suelos ricos en materia orgánica y bien drenados. Requiere pleno sol y riego constante.;Sí;No;No aplica;Insecticida;Septiembre - Octubre;Almacigo;0.5 cm;10 a 15 días;-;50 cm;70 cm;-;;;;;;;;;Septiembre;Octubre;;;"Septiembre;Octubre"
45;Sí;Tomillo;;;Zona 1: Visitas Frecuentes;images/zona1_visitas_frecuentes.png;Plantas Aromáticas y Medicinales;Thymus vulgaris ;Labiadas-Lamiaceas;Prefiere suelos secos y bien drenados. Tolera sequía y requiere pleno sol.;No;Sí;S-Mg-K-Fe;Antiséptico-Tónico-Alivia espasmos musculares-Expectorante-Vermífugo;Agosto - Octubre;Directa;0.5 cm;10 a 20 días;-;30 cm;50 cm;90 días;;;;;;;;Agosto;Septiembre;Octubre;;;"Agosto;Septiembre;Octubre"
46;Sí;Toronjil cuyano;;;Zona 1: Visitas Frecuentes;images/zona1_visitas_frecuentes.png;Plantas Aromáticas y Medicinales;Marrubio vulgare;Labiadas-Lamiaceas;Prefiere suelos secos y bien drenados. Requiere pleno sol y tolera la sequía.;No;No;No aplica;Se usa para: Disnea-Bronquitis-Daño en el pulmón-Asma bronquial-tos-aumenta apetito;Agosto - Octubre;Directa;0.5 cm;10 a 14 días;-;30 cm;50 cm;-;;;;;;;;Agosto;Septiembre;Octubre;;;"Agosto;Septiembre;Octubre"
;Sí;Trébol;;;Zona 1: Visitas Frecuentes;images/zona1_visitas_frecuentes.png;Plantas Aromáticas y Medicinales;Trifolium pratense;Leguminosas-Fabaceas;Prefiere suelos fértiles y bien drenados. Necesita riego moderado y exposición al sol.;Sí;No;No aplica;Antiasmática-Expectorante-Astringente-Cicatrizante-Menopausia;Otoño (marzo a mayo);Directa;1 cm;7 a 14 días;-;15 cm;30 cm;120 días;;;Marzo;Abril;Mayo;;;;;;;;"Marzo;Abril;Mayo"
;Sí;Tusílago;;;Zona 1: Visitas Frecuentes;images/zona1_visitas_frecuentes.png;Plantas Aromáticas y Medicinales;Petasites fragans;Asteraceas;Prefiere suelos húmedos y sombra parcial. Necesita riego constante.;Sí;Sí;Mg-Ca-K-P-Fe-Cu-Si;Antiinflamatorio-Antiespasmódico-Antimigrañoso-Sirve para:Afecciones respiratorias.;Primavera (septiembre a noviembre);Almacigo;2 cm;20 a 30 días;-;30 cm;50 cm;-;;;;;;;;;Septiembre;Octubre;Noviembre;;"Septiembre;Octubre;Noviembre"
;Sí;"Verbena
";;;Zona 1: Visitas Frecuentes;images/zona1_visitas_frecuentes.png;Plantas Aromáticas y Medicinales;"Verbena offcinalis
verbena litoralis";"Verbenaceas
";Crece en suelos pobres y bien drenados. Prefiere pleno sol y riego moderado. Planta resistente.;No;No;No aplica;"Nervino-Tónico-Sedante suave-Estimula secreción de bilis-Amargo suave-Cicatrizante
";Agosto - Octubre;Directa;0.5 cm;10 a 15 días;-;30 cm;50 cm;-;;;;;;;;Agosto;Septiembre;Octubre;;;"Agosto;Septiembre;Octubre"
18;No;Vira Vira;;;Zona 1: Visitas Frecuentes;images/zona1_visitas_frecuentes.png;Plantas Aromáticas y Medicinales;Gnaphalium vira-vira;Asteraceas;Prefiere suelos húmedos y bien drenados. Tolera temperaturas frías y sombra parcial.;No;No;No aplica;Expectorante-Sudorífico-Febrífugo-Sirve para:Dispepsia-Gastalgia-Externo:Lavar heridas;Septiembre - Octubre;Directa;1 cm;10 a 14 días;-;30 cm;50 cm;-;;;;;;;;;Septiembre;Octubre;;;"Septiembre;Octubre"
41;Sí;"Zarzaparrilla
";;;Zona 1: Visitas Frecuentes;images/zona1_visitas_frecuentes.png;Plantas Aromáticas y Medicinales;"Ribes cucullatum/Smilax aspera
Ribes punctatum";"Grosulaceas
";Prefiere climas templados y suelos húmedos bien drenados. Necesita poda para controlar el crecimiento.;No;Sí;"I
";"Depurativo-Astringente-Hemostático-Antiséptico-Antioxidante
";Invierno (Junio - Agosto);Almacigo;1 cm;10 a 15 días;-;40 cm;60 cm;120 días;;;;;;Junio;Julio;Agosto;;;;;"Junio;Julio;Agosto"
;Sí;Achira;;;Zona 1: Visitas Frecuentes;images/zona1_visitas_frecuentes.png;Plantas Ornamentales y Cubresuelos;Canna indica;Cannaceas;Prefiere suelos húmedos y ricos en nutrientes. Requiere pleno sol o sombra parcial.;No;No;No aplica;Rizomas se comen asados o cocidos-Se pueden hacer arina-Diurético-;Septiembre - Octubre;Esquejes;-;20 a 30 días;-;1 m;1.5 m;-;;;;;;;;;Septiembre;Octubre;;;"Septiembre;Octubre"
;Sí;"Aliso
";;;Zona 1: Visitas Frecuentes;images/zona1_visitas_frecuentes.png;Plantas Ornamentales y Cubresuelos;"Alyssum maritimun
Lobularia maritima";Boraginaceas;Crece en suelos arenosos y bien drenados. Prefiere pleno sol y riego moderado.;No;No;No aplica;"Diurético-Elimina cálculos renales
";Agosto - Octubre;Directa;0.5 cm;7 a 14 días;-;30 cm;50 cm;-;;;;;;;;Agosto;Septiembre;Octubre;;;"Agosto;Septiembre;Octubre"
;Sí;Cardenal-Geranio;;;Zona 1: Visitas Frecuentes;images/zona1_visitas_frecuentes.png;Plantas Ornamentales y Cubresuelos;Pelargonium x hortorum;Geranaceas;Prefiere suelos fértiles y bien drenados. Necesita riego moderado y pleno sol.;No;No;No aplica;Alivia el dolor-Disminuye estrés-Antininflamatorio-Digestivo-Antibacteriano-Fortalece sistema inmune;Primavera (septiembre a noviembre);Esquejes;-;15 a 20 días;-;30 cm;50 cm;-;;;;;;;;;Septiembre;Octubre;Noviembre;;"Septiembre;Octubre;Noviembre"
42;Sí;Chilco;;;Zona 1: Visitas Frecuentes;images/zona1_visitas_frecuentes.png;Plantas Ornamentales y Cubresuelos;Fuchsia magellanica;Onagraceas;Prefiere suelos húmedos y bien drenados. Necesita sombra parcial y riego constante.;Sí;No;No aplica;Diurético-Emenagogo-Febrífugo;Agosto - Octubre;Esquejes;-;20 a 30 días;-;50 cm;70 cm;-;;;;;;;;Agosto;Septiembre;Octubre;;;"Agosto;Septiembre;Octubre"
;No;Cochayuyo;;;Zona 1: Visitas Frecuentes;images/zona1_visitas_frecuentes.png;Plantas Ornamentales y Cubresuelos;Durvillea antarctica;Durvilleaceas;Crece en ambientes costeros con alta humedad. Tolera condiciones salinas extremas.;No;No;No aplica;Depurativo-Hipocolestemiante-Tónico tiroideo;Primavera (septiembre a noviembre);Almacigo;2 cm;30 a 40 días;-;1 m;2 m;-;;;;;;;;;Septiembre;Octubre;Noviembre;;"Septiembre;Octubre;Noviembre"
;Sí;Crisantemo;;;Zona 1: Visitas Frecuentes;images/zona1_visitas_frecuentes.png;Plantas Ornamentales y Cubresuelos;Chrysanthemun;Asteraceas;Prefiere suelos fértiles y bien drenados. Necesita pleno sol y riego moderado.;No;No;No aplica;Antibacteriano-Antiinflamatorio-Sedante-Se usa para:Tratamiento de heridas;Primavera (septiembre a noviembre);Almacigo;0.5 cm;7 a 10 días;-;40 cm;50 cm;-;;;;;;;;;Septiembre;Octubre;Noviembre;;"Septiembre;Octubre;Noviembre"
;Sí;Dedal de oro;;;Zona 1: Visitas Frecuentes;images/zona1_visitas_frecuentes.png;Plantas Ornamentales y Cubresuelos;Eschcholzia californica;Papaveraceas;Prefiere suelos arenosos y bien drenados. Tolera la sequía y requiere pleno sol.;No;No;No aplica;Sedante suave-Sirve para: Sistema digestivo-Insomnio-Estrés-Tensión;Agosto - Octubre;Directa;0.5 cm;7 a 10 días;-;30 cm;50 cm;-;;;;;;;;Agosto;Septiembre;Octubre;;;"Agosto;Septiembre;Octubre"
;No;Floripondio;;;Zona 1: Visitas Frecuentes;images/zona1_visitas_frecuentes.png;Plantas Ornamentales y Cubresuelos;Brugmansia suaveolens/arborea;Solanaceas;Prefiere suelos húmedos y fértiles. Requiere sombra parcial y riego constante.;No;No;No aplica;Aplicando hojas mitiga dolores de articulaciones;Primavera (septiembre a noviembre);Esquejes;-;20 a 30 días;-;1 m;1.5 m;-;;;;;;;;;Septiembre;Octubre;Noviembre;;"Septiembre;Octubre;Noviembre"
11;Sí;Hiedra común;;;Zona 1: Visitas Frecuentes;images/zona1_visitas_frecuentes.png;Plantas Ornamentales y Cubresuelos;Hedera helix;Araliaceae;Crece bien en sombra parcial o completa. Requiere riego moderado y poda para controlar su crecimiento invasivo.;No;No;No aplica;Afecciones pulmonares-Riñones-Vejiga;Agosto - Octubre;Esquejes;-;20 a 30 días;-;30 cm;60 cm;-;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre;"Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre"
;Sí;Jacinto de agua;;;Zona 1: Visitas Frecuentes;images/zona1_visitas_frecuentes.png;Plantas Ornamentales y Cubresuelos;Eichhornia crassipes;Pontederiaceae;Prefiere ambientes acuáticos y climas cálidos. Puede ser invasiva.;No;No;No aplica;Atrae metale spesados en sus raíces-Biofiltro;Septiembre - Octubre;Directa;1 cm;14 a 21 días;-;-;-;-;;;;;;;;;Septiembre;Octubre;;;"Septiembre;Octubre"
;Sí;Junco;;;Zona 1: Visitas Frecuentes;images/zona1_visitas_frecuentes.png;Plantas Ornamentales y Cubresuelos;Typha latifolia;Thypaceas;Necesita suelos húmedos o anegados. Tolera sombra parcial.;No;No;No aplica;Artesania-Biofiltros;Primavera (septiembre a noviembre);Directa;1 cm;14 a 21 días;-;50 cm;80 cm;-;;;;;;;;;Septiembre;Octubre;Noviembre;;"Septiembre;Octubre;Noviembre"
;Sí;"Kalanchoe
";;;Zona 1: Visitas Frecuentes;images/zona1_visitas_frecuentes.png;Plantas Ornamentales y Cubresuelos;"Kalanchoe pinnata
Kalanchoe diagremontiana";"Crasuláceas
";Tolera suelos pobres y sequía. Prefiere exposición al sol y riego moderado.;No;No;No aplica;"Problemas digestivos-Infecciones genouterinas-Antininflamatorio-Bactericida-Hemostática-
Astringente Se usa: contra el cáncer(comerla)";Septiembre - Octubre;Esquejes;-;15 a 20 días;-;30 cm;50 cm;-;;;;;;;;;Septiembre;Octubre;;;"Septiembre;Octubre"
;Sí;Lirio;;;Zona 1: Visitas Frecuentes;images/zona1_visitas_frecuentes.png;Plantas Ornamentales y Cubresuelos;Iris lutescens;Iridaceas;Necesita suelos húmedos y bien drenados. Prefiere pleno sol o sombra parcial.;No;No;No aplica;Emético-Purgante-Usado en perfumería y cosmética-Tratamiento de afecciones cutáneas;Agosto - Octubre;Almacigo;1 cm;10 a 14 días;-;50 cm;70 cm;-;;;;;;;;Agosto;Septiembre;Octubre;;;"Agosto;Septiembre;Octubre"
;Sí;"Malva rosa
";;;Zona 1: Visitas Frecuentes;images/zona1_visitas_frecuentes.png;Plantas Ornamentales y Cubresuelos;"Pelargonium graveolens
Citrosum graveolens";Geranaceas;Necesita suelos bien drenados y pleno sol. Riego moderado.;No;No;No aplica;"Interno:Dolores de cabezas-Aclara la mente-Bronquitis-Amigdalitis-Inflamaciones
Externo:Artritis";Septiembre - Octubre;Esquejes;-;15 a 20 días;-;50 cm;70 cm;-;;;;;;;;;Septiembre;Octubre;;;"Septiembre;Octubre"
;Sí;Moradilla;;;Zona 1: Visitas Frecuentes;images/zona1_visitas_frecuentes.png;Plantas Ornamentales y Cubresuelos;Althernanthera porrigens;Amarantaceas;Crece en suelos húmedos y bien drenados. Tolera sombra parcial y temperaturas moderadas.;No;No;No aplica;Purgante-Dolor de estómago-Se usa para:Inflamaciones, Circulación, Gripe y Cólicos menstruales;Septiembre - Octubre;Esquejes;-;15 a 20 días;-;30 cm;50 cm;-;;;;;;;;;Septiembre;Octubre;;;"Septiembre;Octubre"
61;No;Nalca;;;Zona 1: Visitas Frecuentes;images/zona1_visitas_frecuentes.png;Plantas Ornamentales y Cubresuelos;Gunnera tinctoria;Gunneraceas;Requiere suelos húmedos y exposición a sombra parcial. Tolera climas fríos.;Sí;No;No aplica;Astringente-Hemostático-Febrífugo;Primavera (septiembre a noviembre);Almacigo;2 cm;30 a 40 días;-;1 m;1.5 m;-;;;;;;;;;Septiembre;Octubre;Noviembre;;"Septiembre;Octubre;Noviembre"
;Sí;"Natre
";;;Zona 1: Visitas Frecuentes;images/zona1_visitas_frecuentes.png;Plantas Ornamentales y Cubresuelos;"Solanum Ligustrinum
Solanum crispum";Solanaceas;Necesita suelos fértiles y riego moderado. Prefiere exposición al sol.;No;No;No aplica;"Hipoglicemiante-Tónico-Febrífugo-Dolores de cabeza causados por el sol-Lavados intestinales.
(1 cdta x 4 cdta agua)";Septiembre - Octubre;Almacigo;1 cm;10 a 14 días;-;50 cm;70 cm;90 días;;;;;;;;;Septiembre;Octubre;;;"Septiembre;Octubre"
;Sí;Papiro;;;Zona 1: Visitas Frecuentes;images/zona1_visitas_frecuentes.png;Plantas Ornamentales y Cubresuelos;Cyperus papyrus;Ciperaceas;Prefiere suelos húmedos y exposición al sol. Se adapta bien a ambientes acuáticos.;No;No;No aplica;Usos tradicionales en cestería y papel-Fibra vegetal-Usado en medicina tradicional como diurético;Septiembre - Octubre;Esquejes;-;20 a 30 días;-;1 m;2 m;-;;;;;;;;;Septiembre;Octubre;;;"Septiembre;Octubre"
;Sí;Rosal silvestre;;;Zona 1: Visitas Frecuentes;images/zona1_visitas_frecuentes.png;Plantas Ornamentales y Cubresuelos;Rosa canina;Rosaceas;Prefiere suelos fértiles y bien drenados. Necesita poda regular y exposición al sol.;No;No;No aplica;Escaramujos:Altas vitaminas y nutriente-Disminuye la sed y alivia inflamaciones gástricas;Invierno (Junio - Agosto);Almacigo;2 cm;20 a 30 días;-;50 cm;70 cm;-;;;;;;Junio;Julio;Agosto;;;;;"Junio;Julio;Agosto"
73;No;Sanguinaria;;;Zona 1: Visitas Frecuentes;images/zona1_visitas_frecuentes.png;Plantas Ornamentales y Cubresuelos;Clarizanthe paniculata;Papaveraceas;0;No;No;No aplica;Purifica la sangre-Úlceras-Hemorragias-Calculos de la vejiga;Septiembre - Octubre;Esquejes;-;20 a 30 días;-;40 cm;60 cm;-;;;;;;;;;Septiembre;Octubre;;;"Septiembre;Octubre"
;Sí;Suspiro;;;Zona 1: Visitas Frecuentes;images/zona1_visitas_frecuentes.png;Plantas Ornamentales y Cubresuelos;Ipomoea violacea;Convulvaceas;Prefiere suelos fértiles y bien drenados. Necesita estructuras para trepar y exposición al sol.;No;No;No aplica;Semillas efecto LSD-Intoxicante;Septiembre - Octubre;Directa;1 cm;7 a 14 días;-;30 cm;50 cm;-;;;;;;;;;Septiembre;Octubre;;;"Septiembre;Octubre"
10;Sí;"Vinca
";;;Zona 1: Visitas Frecuentes;images/zona1_visitas_frecuentes.png;Plantas Ornamentales y Cubresuelos;"Vinca minor
Vinca major";"Apocynaceas
";Crece en suelos húmedos y bien drenados. Tolera sombra y se adapta a diferentes condiciones.;No;No;No aplica;"Astingente-Antihemorragia-Estimula el apetito-Arterioesclorosis-Demencia(hojas)-
Fatifa mental-Sirve para:Cráneo-Corazón";Primavera (septiembre a noviembre);Esquejes;-;15 a 20 días;-;30 cm;50 cm;-;;;;;;;;;Septiembre;Octubre;Noviembre;;"Septiembre;Octubre;Noviembre"
